Country,Total Aircraft,Fighter Aircraft,Attack Aircraft,Transport Aircraft,Trainer Aircraft,Special Mission Aircraft,Tanker Aircraft,Total Helicopters,Attack Helicopters
Afghanistan,5,0,0,2,0,0,0,3,0
Albania,20,0,0,1,0,0,0,19,0
Algeria,620,111,42,63,90,10,4,300,74
Angola,278,67,6,32,56,2,0,115,14
Argentina,241,23,11,25,71,13,2,96,0
Armenia,69,4,14,3,12,0,0,36,20
Australia,348,24,71,37,107,31,6,72,22
Austria,90,15,0,11,23,0,0,41,0
Azerbaijan,159,12,20,4,36,0,0,87,16
Bahrain,137,28,0,3,40,0,0,66,34
Bangladesh,212,41,0,17,83,4,0,67,0
Belarus,194,43,50,4,27,0,0,70,31
Belgium,104,44,12,7,27,0,0,14,0
Beliz,3,0,0,1,0,1,0,1,0
Benin,7,0,0,1,0,1,0,5,0
Bhutan,2,0,0,0,0,0,0,2,0
Bolivia,67,0,0,15,20,2,0,29,0
Bosnia and Herzegovina,15,0,0,0,0,0,0,15,0
Botswana,45,10,0,9,10,0,0,16,0
Brazil,495,44,30,107,124,25,0,186,0
Bulgaria,71,11,5,6,26,0,0,23,4
Burkina Faso,26,0,3,2,0,2,0,19,5
Cambodia,24,0,0,4,0,0,0,20,0
Cameroon,35,0,0,6,6,2,0,21,0
Canada,354,66,0,29,95,34,6,146,0
Central African Republic,8,0,8,0,0,0,0,0,0
Chad,40,0,7,7,8,2,0,16,3
Chile,274,45,0,33,92,18,5,86,0
China,3529,1443,371,287,401,105,9,1007,281
Colombia,430,16,24,82,72,27,1,255,0
Croatia,67,12,0,0,26,0,0,37,0
Cuba,20,11,0,4,3,0,0,13,4
Czechia,103,12,16,10,21,2,0,42,4
Democratic Republic of the Congo,56,0,6,10,2,0,0,38,9
Denmark,122,26,19,4,36,3,0,34,0
Dominican Republic,80,0,8,11,17,1,0,49,0
Ecuador,99,0,0,20,34,8,0,43,0
Egypt,1088,242,90,53,344,11,0,348,100
El Salvador,51,0,15,3,10,0,0,28,0
Eritrea,20,1,0,5,1,0,0,13,6
Estonia,2,0,0,2,0,0,0,0,0
Ethiopia,104,25,0,9,34,0,0,33,7
Finland,162,53,0,11,77,1,0,27,0
France,974,223,0,118,140,44,15,452,67
Gabon,25,6,0,3,0,0,0,16,0
Georgia,61,0,5,2,10,0,0,44,11
Germany,569,127,63,55,16,27,3,292,49
Ghana,18,0,0,2,5,2,0,9,0
Greece,560,178,0,17,86,8,0,285,28
Guatemala,35,0,3,10,0,2,0,20,0
Honduras,45,6,7,10,10,1,0,11,0
Hungary,80,12,0,3,17,0,0,50,8
Iceland,0,0,0,0,0,0,0,0,0
India,2183,476,124,277,334,72,6,594,79
Indonesia,460,41,34,73,114,15,1,212,15
Iran,551,188,21,86,103,10,6,129,13
Iraq,360,26,36,15,111,17,0,183,39
Ireland,23,0,0,5,8,2,0,8,0
Israel,597,239,45,14,148,19,13,127,48
Italy,714,88,65,31,152,22,8,352,37
Ivory Coast,22,0,0,3,2,3,0,14,5
Japan,1429,217,47,53,399,135,10,583,118
Jordan,279,44,10,12,66,11,0,159,44
Kazakhstan,168,37,13,21,25,0,0,72,12
Kenya,154,17,0,21,30,2,0,84,2
Kosovo,0,0,0,0,0,0,0,0,0
Kuwait,133,47,0,2,13,0,3,68,16
Kyrgyzstan,7,0,0,0,0,0,0,7,2
Laos,29,0,0,2,7,0,0,20,0
Latvia,3,0,0,0,0,0,0,3,0
Lebanon,80,0,9,0,9,0,0,68,0
Liberia,0,0,0,0,0,0,0,0,0
Libya,83,10,1,12,35,0,0,22,4
Lithuania,9,0,0,5,0,0,0,4,0
Luxembourg,1,0,0,1,0,0,0,0,0
Madagascar,6,0,0,1,0,0,0,5,0
Malaysia,132,25,11,15,31,6,4,45,0
Mali,44,9,12,8,4,1,0,10,8
Mauritania,23,0,4,7,6,2,0,4,0
Mexico,424,2,32,40,175,25,0,173,0
Moldova,3,0,0,1,0,0,0,2,0
Mongolia,8,0,0,3,2,0,0,3,0
Montenegro,10,0,0,0,0,0,0,10,0
Morocco,271,84,0,31,77,4,2,73,6
Mozambique,23,8,2,5,1,0,0,7,2
Myanmar,331,70,20,33,120,5,0,86,9
Namibia,36,11,0,5,13,0,0,7,2
Nepal,17,0,0,7,0,0,0,10,0
Netherlands,130,0,38,4,21,0,0,67,16
New Zealand,47,0,0,7,13,6,0,21,0
Nicaragua,17,0,0,5,1,0,0,12,0
Niger,26,0,2,7,0,2,0,13,2
Nigeria,159,14,24,12,28,12,0,69,15
North Korea,837,341,114,1,176,0,0,205,20
North Macedonia,20,0,0,0,10,0,0,10,4
Norway,109,0,43,4,23,5,0,34,0
Oman,128,29,10,9,45,4,0,31,0
Pakistan,1397,331,90,63,563,27,4,379,55
Panama,38,0,0,13,0,2,0,23,0
Paraguay,49,0,4,12,14,1,0,18,0
Peru,252,15,22,39,68,12,0,112,16
Philippines,204,0,17,23,23,11,0,130,6
Poland,457,58,12,44,112,11,0,224,29
Portugal,128,28,5,20,23,16,4,36,0
Qatar,263,115,6,12,45,0,0,85,24
Republic of the Congo,14,2,0,4,0,0,0,8,1
Romania,148,29,0,13,44,2,0,66,0
Russia,4237,861,698,458,530,137,18,1643,556
Saudi Arabia,917,283,81,49,202,16,22,264,34
Senegal,39,0,0,5,22,1,0,19,5
Serbia,115,11,17,3,33,0,0,51,4
Sierra Leone,1,0,0,0,0,0,0,1,0
Singapore,235,100,0,9,36,9,11,75,20
Slovakia,48,7,0,7,11,1,0,22,0
Slovenia,40,0,0,5,23,0,0,16,0
Somalia,6,0,0,0,0,0,0,6,0
South Africa,181,2,0,11,81,0,0,87,10
South Korea,1540,242,98,40,335,35,4,827,113
South Sudan,19,0,0,4,0,0,0,15,6
Spain,440,136,12,51,108,8,0,169,17
Sri Lanka,90,6,0,15,7,3,0,49,8
Sudan,183,37,36,13,33,0,0,64,35
Suriname,3,0,0,0,0,0,0,3,0
Sweden,172,73,0,6,36,3,1,53,0
Switzerland,141,40,0,16,43,3,0,39,0
Syria,104,52,5,2,8,0,0,39,7
Taiwan,720,258,0,19,215,18,0,239,91
Tajikistan,25,0,0,1,4,0,0,20,6
Tanzania,38,11,0,6,6,0,0,15,0
Thailand,496,73,26,52,134,25,0,258,7
Tunisia,155,10,0,12,28,4,0,101,0
Turkiye,1101,201,0,84,301,27,7,509,111
Turkmenistan,91,22,27,5,11,0,0,26,10
Uganda,51,6,0,3,12,0,0,30,6
Ukraine,347,88,30,22,72,5,0,140,39
United Arab Emirates,581,99,40,35,151,27,5,250,30
United Kingdom,625,103,38,30,201,29,9,262,50
United States,13032,1791,926,917,2610,611,610,5913,1024
Uruguay,43,0,6,6,12,5,2,12,0
Uzbekistan,159,26,13,12,7,0,0,101,34
Venezuela,224,30,0,47,75,3,1,85,10
Vietnam,265,61,0,6,91,3,0,101,0
Yemen,160,68,0,3,30,0,0,59,14
Zambia,78,0,0,13,34,0,0,33,0
Zimbabwe,80,9,9,14,20,0,0,28,6
